City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinop,41.7711,34.8709,10.13,90,40,1.08,TR,1684449002
1,cabitan,12.2943,123.3412,28.32,74,96,2.41,PH,1684449003
2,jamestown,42.097,-79.2353,20.85,28,0,2.57,US,1684448784
3,castro,-24.7911,-50.0119,11.73,74,0,0.87,BR,1684449005
4,sydney mines,46.2367,-60.2177,8.33,47,20,8.23,CA,1684449005
5,busselton,-33.65,115.3333,13.79,76,36,4.12,AU,1684449006
6,portland,45.5234,-122.6762,29.34,51,20,3.13,US,1684448876
7,bonfim,3.0833,-59.95,26.49,81,100,0.94,BR,1684449007
8,resistencia,-27.4606,-58.9839,23.03,76,0,1.54,AR,1684449008
9,cape town,-33.9258,18.4232,15.21,69,0,6.17,ZA,1684448770
10,puerto ayora,-0.7393,-90.3518,29.98,89,87,4.47,EC,1684448775
11,andenes,69.3143,16.1194,6.99,81,100,6.17,NO,1684449010
12,rikitea,-23.1203,-134.9692,24.19,82,86,4.89,PF,1684449011
13,hithadhoo,-0.6,73.0833,27.99,78,44,3.63,MV,1684449011
14,nikolskoye,59.7035,30.7861,7.94,93,53,2.04,RU,1684449013
15,kawalu,-7.3817,108.2082,21.55,96,99,0.54,ID,1684449014
16,vaini,-21.2,-175.2,28.09,74,75,8.23,TO,1684449014
17,airai,-8.9266,125.4092,15.03,83,70,1.6,TL,1684449016
18,namie,37.4833,141.0,22.06,76,100,2.89,JP,1684449017
19,port alfred,-33.5906,26.891,11.21,94,9,2.24,ZA,1684448962
20,ustye,59.6304,39.736,9.11,91,100,1.09,RU,1684449018
21,yellowknife,62.456,-114.3525,16.29,41,75,4.63,CA,1684448978
22,avarua,-21.2078,-159.775,26.03,69,20,4.63,CK,1684448756
23,hobart,-42.8794,147.3294,7.25,92,75,2.57,AU,1684449020
24,chalon-sur-saone,46.7833,4.85,8.83,86,51,2.84,FR,1684449021
25,adrar,20.5022,-10.0711,26.0,17,10,5.75,MR,1684449021
26,punta arenas,-53.15,-70.9167,3.06,81,20,5.66,CL,1684449022
27,margate,51.3813,1.3862,9.61,77,6,2.24,GB,1684448808
28,carnarvon,-24.8667,113.6333,22.17,46,47,5.96,AU,1684448975
29,ushuaia,-54.8,-68.3,1.81,75,20,0.51,AR,1684448736
30,dingle,10.9995,122.6711,26.99,82,92,0.22,PH,1684449025
31,atuona,-9.8,-139.0333,27.18,78,16,6.9,PF,1684449025
32,sertania,-8.0736,-37.2644,22.34,84,100,2.76,BR,1684449026
33,bukachacha,52.9833,116.9167,10.79,39,96,4.23,RU,1684449026
34,taoudenni,22.6783,-3.9836,30.37,11,28,4.64,ML,1684448989
35,veraval,20.9,70.3667,27.5,84,0,5.59,IN,1684449027
36,bengkulu,-3.8004,102.2655,24.07,91,96,1.71,ID,1684449028
37,costesti,44.6667,24.8833,13.57,72,78,3.46,RO,1684449029
38,port hardy,50.6996,-127.4199,16.1,77,75,5.66,CA,1684449029
39,puerto escondido,15.85,-97.0667,32.46,62,40,3.6,MX,1684449030
40,dudinka,69.4058,86.1778,2.57,100,100,8.1,RU,1684448835
41,mataura,-46.1927,168.8643,8.24,94,100,0.4,NZ,1684449031
42,kapaa,22.0752,-159.319,23.18,89,100,4.63,US,1684448744
43,mamakan,57.8161,114.0028,5.57,82,96,1.03,RU,1684449032
44,karpathos,35.507,27.2132,17.98,88,2,0.51,GR,1684449033
45,new norfolk,-42.7826,147.0587,7.06,74,81,0.7,AU,1684448939
46,rocha,-34.4833,-54.3333,14.02,92,0,2.85,UY,1684449026
47,iqaluit,63.7506,-68.5145,-1.15,68,100,4.12,CA,1684448766
48,victoria,22.2855,114.1577,28.44,89,68,2.24,HK,1684448996
49,lindenwold,39.8243,-74.9977,19.22,58,0,3.6,US,1684449035
50,morant bay,17.8815,-76.4093,30.79,77,21,4.06,JM,1684449036
51,khatanga,71.9667,102.5,1.44,98,100,8.8,RU,1684449036
52,talnakh,69.4865,88.3972,2.34,100,100,4.66,RU,1684448793
53,tessalit,20.1986,1.0114,32.74,22,85,2.63,ML,1684449037
54,uyovu,-3.2833,31.5258,19.34,88,94,2.05,TZ,1684449038
55,tambilil,5.9622,124.6697,26.15,89,100,0.6,PH,1684449038
56,hilo,19.7297,-155.09,26.45,72,75,3.13,US,1684449039
57,goderich,43.7501,-81.7165,14.18,41,95,0.51,CA,1684448817
58,leningradskiy,69.3833,178.4167,2.63,98,87,2.6,RU,1684449040
59,pevek,69.7008,170.3133,1.92,81,96,6.01,RU,1684449041
60,bluff,-46.6,168.3333,10.02,83,99,2.8,NZ,1684449041
61,ondangwa,-17.9167,15.95,16.0,33,98,1.03,NA,1684449042
62,fatehpur,25.9333,80.8,30.26,36,0,2.24,IN,1684449043
63,kismayo,-0.3582,42.5454,26.55,82,53,5.78,SO,1684449043
64,provideniya,64.3833,-173.3,-0.91,80,40,2.0,RU,1684449044
65,port-cartier,50.0334,-66.8654,12.12,38,97,5.61,CA,1684449045
66,sehithwa,-20.4667,22.7167,18.46,36,99,1.54,BW,1684449045
67,hermanus,-34.4187,19.2345,13.12,73,25,2.71,ZA,1684449046
68,saint pete beach,27.7253,-82.7412,30.67,63,0,5.14,US,1684448820
69,mareeba,-17.0,145.4333,18.05,66,44,1.25,AU,1684449048
70,longyearbyen,78.2186,15.6401,-7.09,73,0,4.12,SJ,1684448987
71,albany,42.6001,-73.9662,18.43,29,0,1.34,US,1684448768
72,porbandar,21.6422,69.6093,27.54,83,8,3.81,IN,1684449049
73,chokurdakh,70.6333,147.9167,-0.04,100,100,3.86,RU,1684449050
74,tasiilaq,65.6145,-37.6368,1.09,99,100,2.71,GL,1684449050
75,east london,-33.0153,27.9116,14.24,76,19,5.66,ZA,1684448913
76,broken hill,-31.95,141.4333,8.09,64,0,3.31,AU,1684449052
77,port elizabeth,-33.918,25.5701,13.94,97,100,3.6,ZA,1684448772
78,krasnoselkup,65.7,82.4667,4.06,89,100,5.43,RU,1684449053
79,upernavik,72.7868,-56.1549,-0.61,78,89,2.73,GL,1684449054
80,antofagasta,-23.65,-70.4,17.6,88,43,3.35,CL,1684449055
81,saskylakh,71.9167,114.0833,-0.64,90,80,6.49,RU,1684449055
82,sarakhs,36.5449,61.1577,19.3,33,0,1.33,IR,1684449056
83,hofn,64.2539,-15.2082,8.28,94,97,4.46,IS,1684449056
84,kibaya,-5.3,36.5667,15.16,92,60,2.01,TZ,1684449057
85,esperance,-33.8667,121.9,13.0,84,2,0.87,AU,1684449057
86,kyren,51.6828,102.1408,1.03,75,61,1.08,RU,1684449058
